0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	
0															140	118			75	
	0				211	90							101				85			
		0	120										138	146						
		120	0							75										
				0			86													
	211				0										90					
	90					0														
				86			0										98			
								0			87							92		
									0	70						111				
			75						70	0										
								87			0									
												0			151				71	
	101	138											0	97						
		146											97	0	80					
140					90							151		80	0					
118									111							0				
	85						98										0	142		
								92									142	0		
75												71							0	
